frames,car_ID,speed,direction,rate_of_speed,rate_of_direction,class
24,1,78.74410396,24.57993176,0,0,No
25,0,165.5967774,-163.8032198,0,0.42732049,No
25,1,78.74410396,-10.30115582,0,-1.581395349,No
26,0,165.5967774,-163.8032198,0,0.364832536,No
26,1,78.74410396,-10.30115582,0,-1.7,No
27,0,165.5967774,-163.8032198,0,0.332425068,No
27,1,78.74410396,-10.30115582,0,-1.789473684,No
28,0,165.5967774,-212.7402285,0,0.6121673,No
28,1,78.74410396,36.5525049,0,1.634146341,No
29,0,218.3980849,-212.7402285,0.263245033,0.547445255,No
29,1,154.1548425,36.5525049,0.733118971,1.523364486,No
30,0,218.3980849,-212.7402285,0.233186675,0.507109005,No
30,1,154.1548425,36.5525049,0.62295082,1.454545455,No
31,0,218.3980849,-172.9778119,0.2147923,0.18956303,No
31,1,154.1548425,53.84817503,0.55985267,2.177111717,No
32,0,218.3980849,-172.9778119,0.202375902,0.167624021,No
32,1,154.1548425,53.84817503,0.518968134,1.931914894,No
33,0,218.3980849,-172.9778119,0.193430657,0.152042867,No
33,1,154.1548425,53.84817503,0.490322581,1.77486911,No
34,0,192.607731,-216.414296,0.042533937,0.414670659,No
34,1,178.4108883,53.59749734,0.634693878,1.544581619,No
35,0,192.607731,-216.414296,0.036503856,0.391528426,No
35,1,178.4108883,53.59749734,0.57721519,1.395480226,No
36,0,192.607731,-216.414296,0.032026876,0.374045802,No
36,1,178.4108883,53.59749734,0.536690647,1.291066282,No
37,0,192.607731,-224.9743331,0.028571429,0.399485483,No
37,1,178.4108883,58.76736731,0.506583072,1.356972112,No
38,0,192.607731,-224.9743331,0.025823687,0.38002594,No
38,1,178.4108883,58.76736731,0.483333333,1.250510551,No
39,0,168.5013365,-224.9743331,-0.101604278,0.364664926,No
39,1,236.2667361,58.76736731,0.889778615,1.171122995,No
40,0,168.5013365,-178.2244689,-0.100971694,0.073397657,No
40,1,236.2667361,51.8243338,0.833197056,0.832648871,No
41,0,168.5013365,-178.2244689,-0.10045895,0.064543689,No
41,1,236.2667361,51.8243338,0.789815818,0.774514234,No
42,0,168.5013365,-178.2244689,-0.100034937,0.057276199,No
42,1,236.2667361,51.8243338,0.75549806,0.728813559,No
43,0,168.5013365,-185.9682607,-0.099678457,0.091445428,No
43,1,236.2667361,63.51320763,0.727672035,1.06557377,No
44,0,150.3648035,-185.9682607,-0.192996185,0.085298604,No
44,1,338.3985295,63.51320763,1.37906322,1.010210593,No
44,2,12.70155052,36.14498294,0,0,No
45,0,150.3648035,-185.9682607,-0.190356243,0.080116769,No
45,1,338.3985295,63.51320763,1.305069334,0.965337955,No
45,2,12.70155052,48.19331059,0,0.25,No
46,0,150.3648035,-104.1119362,-0.188108918,-0.393238257,No
46,1,338.3985295,58.21010918,1.245961971,0.763513514,No
46,2,12.70155052,48.19331059,0,0.217391304,No
47,0,150.3648035,-104.1119362,-0.186172686,-0.393614068,No
